"FRAME_ID"	"CHEBI_ID"	"CHEBI_NAME"	"SYNONYMS"	"SMILES"	"NAMES"	"DBLINKS"
"OBTUSIFOLIOL"	"CHEBI:17791"	"obtusifoliol"	"4alpha,14alpha-dimethyl-5alpha-ergosta-8,24(28)-dien-3beta-ol$4alpha,14alpha-dimethyl-24-methylene-5alpha-cholesta-8-en-3beta-ol"	"CC(C(CCC(C2(C3(CCC4(C1(CCC(C([CH]1CCC(C(C)(CC2)3)=4)C)O)C))(C)))C)=C)C"	"obtusifoliol$4alpha,14alpha-dimethyl-5alpha-ergosta-8,24(28)-dien-3beta-ol$4alpha,14alpha-dimethyl-24-methylene-5alpha-cholesta-8-en-3beta-ol"	"(LIGAND-CPD ""C01943"" NIL |sreddy| 3297800165 NIL NIL)"
"CPD-6644"	"CHEBI:69747"	"wighteone"	"6-isopentenylgenistein$6-prenyl-5,7,4'-trihydroxyisoflavone"	"CC(C)=CCc3(c(c1(c(OC=C(C1=O)c2(ccc(O)cc2))cc(O)3))O)"	"wighteone$6-isopentenylgenistein$6-prenyl-5,7,4'-trihydroxyisoflavone"	""
"CPD-564"	"CHEBI:12737"	"S-D-ribosyl-L-homocysteine"	"S-Ribosylhomocysteine$Ribose-5-S-homocysteine$S-Ribosyl-L-homocysteine$S-D-ribosyl-L-homocysteine$ribose-5-S-homocysteine$S-ribosylhomocysteine$S-(5-deoxy-D-ribos-5-yl)-L-homocysteine"	"C(CC(N)C(=O)O)SCC1(OC(O)C(O)C(O)1)"	"S-ribosyl-L-homocysteine$S-Ribosylhomocysteine$Ribose-5-S-homocysteine$S-Ribosyl-L-homocysteine$S-D-ribosyl-L-homocysteine$ribose-5-S-homocysteine$S-ribosylhomocysteine$S-(5-deoxy-D-ribos-5-yl)-L-homocysteine"	"(CAS ""37558-16-0"" NIL |kr| 3346617700 NIL NIL)$(LIGAND-CPD ""C03539"" NIL |kr| 3346617700 NIL NIL)"
"3-HYDROXY-ANTHRANILATE"	"CHEBI:15793"	"3-hydroxyanthranilic acid"	"3-hydroxyanthranilate"	"c1(c(c(N)c(O)cc1)C(O)=O)"	"3-hydroxy-anthranilate$3-hydroxyanthranilate"	"(CAS ""548-93-6"")"
"HMP"	"CHEBI:16892"	"4-amino-5-hydroxymethyl-2-methylpyrimidine"	"6-amino-5-hydroxymethyl-2-methylpyrimidine$4-amino-2-methyl-5-pyrimidinemethanol$pyramine$pyramin$Toxopyrimidine$HMP$4-amino-2-methyl-5-hydroxymethylpyrimidine$4-amino-5-hydroxymethyl-2-methylpyrimidine"	"c1(nc(nc(c1CO)N)C)"	"hydroxymethylpyrimidine$6-amino-5-hydroxymethyl-2-methylpyrimidine$4-amino-2-methyl-5-pyrimidinemethanol$pyramine$pyramin$Toxopyrimidine$HMP$4-amino-2-methyl-5-hydroxymethylpyrimidine$4-amino-5-hydroxymethyl-2-methylpyrimidine"	"(LIGAND-CPD ""C01279"" NIL |kr| 3346617700 NIL NIL)$(CAS ""73-67-6"" NIL |caspi| 3305659566 NIL NIL)"
"HYDROGEN-PEROXIDE"	"CHEBI:16240"	"hydrogen peroxide"	"hydroperoxide$perhydrol$hydrogen peroxide"	"OO"	"H2O2$hydroperoxide$perhydrol$hydrogen peroxide"	"(LIGAND-CPD ""C00027"" NIL |kr| 3346617700 NIL NIL)$(CAS ""7722-84-1"")"
"AMINO-ACETONE"	"CHEBI:17906"	"aminoacetone"	""	"CC(CN)=O"	"aminoacetone"	"(LIGAND-CPD ""C01888"" NIL |kr| 3346617701 NIL NIL)$(CAS ""298-08-8"")"
"TROPINONE"	"CHEBI:16656"	"tropinone"	""	"CN2(C1(CC(=O)CC(CC1)2))"	"tropinone"	"(NCI ""118012"")$(CAS ""532-24-1"")"
"ALLYSINE"	"CHEBI:17027"	"allysine"	"L-2-aminoadipate 6-semialdehyde$2-aminoadipate 6-semialdehyde$alpha-aminoadipate 6-semialdehyde$2-aminoadipate semialdehyde$allysine"	"C(C(N)C(=O)O)CCC=O"	"2-aminoadipate-6-semialdehyde$hexanedioic acid, 2-amino-, semialdhyde$L-2-aminoadipate 6-semialdehyde$2-aminoadipate 6-semialdehyde$alpha-aminoadipate 6-semialdehyde$2-aminoadipate semialdehyde$allysine"	"(CAS ""1962-83-0"")"
"DIMETHYL-D-RIBITYL-LUMAZINE"	"CHEBI:17601"	"6,7-dimethyl-8-(1-D-ribityl)lumazine"	""	"CC2(=C(C)N=C1(C(=NC(NC(=O)1)=O)N(CC(O)C(O)C(O)CO)2))"	"6,7-dimethyl-8-(1-D-ribityl)lumazine"	"(LIGAND-CPD ""C04332"" NIL |kr| 3346617698 NIL NIL)"
"CPD-3402"	"CHEBI:16114"	"medicarpin"	"(6aR,11aR)-medicarpin$demethylhomopterocarpin"	"COc1(ccc3(c(c1)O[CH]2(c4(ccc(O)cc(OC[CH]23)4))))"	"(-)-medicarpin$(6aR,11aR)-medicarpin$demethylhomopterocarpin"	""
"NICOTINATE_NUCLEOTIDE"	"CHEBI:25534"	"nicotinic acid nucleotide"	"nicotinate dinucleotide$beta-nicotinate-D-nucleotide$NaMN$nicotinic acid nucleotide$nicotinic acid mononucleotide$nicotinic acid ribonucleotide$nicotinate-D-ribonucleotide$nicotinate ribonucleotide$nicotinate mononucleotide$deamido-nicotinamide mononucleotide$deamido-NMN$beta-nicotinate D-ribonucleotide"	"c2(ccc(c[n+]([CH]1([CH]([CH]([CH](COP(O)(O)=O)O1)O)O))2)C(O)=O)"	"nicotinate nucleotide$nicotinate dinucleotide$beta-nicotinate-D-nucleotide$NaMN$nicotinic acid nucleotide$nicotinic acid mononucleotide$nicotinic acid ribonucleotide$nicotinate-D-ribonucleotide$nicotinate ribonucleotide$nicotinate mononucleotide$deamido-nicotinamide mononucleotide$deamido-NMN$beta-nicotinate D-ribonucleotide"	"(LIGAND-CPD ""C01185"" NIL |kr| 3346617700 NIL NIL)$(CAS ""321-02-8"")"
"CPD-3192"	"CHEBI:66951"	"4-oxo-4-(pyridin-3-yl)butanoic acid"	"4-oxo-4-(3-pyridyl)-butanoic acid$3-succinoylpyridine$gamma-oxo-3-pyridinebutanoic acid$gamma-oxo-3-pyridinebutanoate"	"c1(ncccc1C(=O)CCC(=O)O)"	"4-oxo-4-(3-pyridyl)-butanoate$4-oxo-4-(3-pyridyl)-butanoic acid$3-succinoylpyridine$gamma-oxo-3-pyridinebutanoic acid$gamma-oxo-3-pyridinebutanoate"	""
"P-RIBOSYL-4-SUCCCARB-AMINOIMIDAZOLE"	"CHEBI:18319"	"(2S)-2-[5-amino-1-(5-phospho-beta-D-ribosyl)imidazole-4-carboxamido]succinic acid"	"(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate$1-(5-phosphoribosyl)-4-(N-succino-carboxamide)-5-aminoimidazole$5'-P-ribosyl-4-(N-succinocarboxamide)-5-aminoimidazole$5'-p-Ribosyl-4-(N-succinocarboxamide)-5-amino imidazole$1-(5'-phosphoribosyl)-4-(N-succino-carboxamide)-5-aminoimidazole$SAICAR"	"c2(nc(c(N)n([CH]1([CH](O)[CH]([CH](COP(O)(=O)O)O1)O))2)C(=O)NC(CC(=O)O)C(=O)O)"	"5'-phosphoribosyl-4-(N-succinocarboxamide)-5-aminoimidazole$(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate$1-(5-phosphoribosyl)-4-(N-succino-carboxamide)-5-aminoimidazole$5'-P-ribosyl-4-(N-succinocarboxamide)-5-aminoimidazole$5'-p-Ribosyl-4-(N-succinocarboxamide)-5-amino imidazole$1-(5'-phosphoribosyl)-4-(N-succino-carboxamide)-5-aminoimidazole$SAICAR"	"(LIGAND-CPD ""C04823"" NIL |kr| 3346617700 NIL NIL)"
"2-KETO-3-METHYL-VALERATE"	"CHEBI:35932"	"3-methyl-2-oxovaleric acid"	"(3S)-3-Methyl-2-oxopentanoate$alpha-keto-methylvalerate$2-oxo-3-methylvalerate$(S)-2-oxo-3-methylpentanoate$(S)-3-methyl-2-oxopentanoate$2-oxo-3-methylpentanoate$3-methyl-2-oxopentanoate$alpha-keto-beta-methyl-valerate"	"CCC(C(C(O)=O)=O)C"	"2-keto-3-methyl-valerate$(3S)-3-Methyl-2-oxopentanoate$alpha-keto-methylvalerate$2-oxo-3-methylvalerate$(S)-2-oxo-3-methylpentanoate$(S)-3-methyl-2-oxopentanoate$2-oxo-3-methylpentanoate$3-methyl-2-oxopentanoate$alpha-keto-beta-methyl-valerate"	"(LIGAND-CPD ""C00671"" NIL |kr| 3346617699 NIL NIL)$(CAS ""1460-34-0"")"
"3-HYDROXY-N-METHYL-S-COCLAURINE"	"CHEBI:17079"	"(S)-3'-hydroxy-N-methylcoclaurine"	"(S)-3-hydroxy-N-methylcoclaurine$4-[(7-hydroxy-6-methoxy-2-methyl-1,2,3,4-tetrahydroisoquinol-1-yl)methyl]benzene-1,2-diol"	"C1(N([CH](c2(c(C1)cc(c(c2)O)OC))Cc3(cc(c(cc3)O)O))C)"	"3'-hydroxy-N-methyl-(S)-coclaurine$(S)-3-hydroxy-N-methylcoclaurine$4-[(7-hydroxy-6-methoxy-2-methyl-1,2,3,4-tetrahydroisoquinol-1-yl)methyl]benzene-1,2-diol"	""
"ACRYLATE"	"CHEBI:18308"	"acrylic acid"	""	"C(C=C)(O)=O"	"acrylate"	""
"SUCCINYL-OH-CYCLOHEXADIENE-COOH"	"CHEBI:11656"	"2-succinyl-6-hydroxycyclohexa-2,4-diene-1-carboxylic acid"	"(1S,6R)-6-hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate"	"C1(C=C(C(=O)CCC(=O)O)C(C(=O)O)C(O)C=1)"	"2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate$(1S,6R)-6-hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate"	"(LIGAND-CPD ""C05817"" NIL |kr| 3346617700 NIL NIL)"
"2-D-THREO-HYDROXY-3-CARBOXY-ISOCAPROATE"	"CHEBI:35114"	"3-isopropylmalic acid"	"2-D-threo-hydroxy-3-carboxy-isocaproate$3-carboxy-2-hydroxy-4-methylpentanoate$beta-isopropylmalate"	"CC(C(C(O)=O)C(C(O)=O)O)C"	"3-isopropylmalate$2-D-threo-hydroxy-3-carboxy-isocaproate$3-carboxy-2-hydroxy-4-methylpentanoate$beta-isopropylmalate"	"(LIGAND-CPD ""C04411"" NIL |kr| 3346617701 NIL NIL)"
"CPD-8999"	"CHEBI:58828"	"5-(methylsulfanyl)-2,3-dioxopentyl phosphate(2-)"	"1-phosphoryloxy-2,3-diketo-5-methylthiopentane$1-phospho-2,3-diketo-5-methylthiopentane$DKM-1-P$2,3-diketo-5-methylthio-1-phosphopentane$2,3-diketo-5-methylthiopentyl-1-phosphate"	"C(SC)CC(=O)C(=O)COP([O-])(=O)[O-]"	"5-(methylthio)-2,3-dioxopentyl phosphate$1-phosphoryloxy-2,3-diketo-5-methylthiopentane$1-phospho-2,3-diketo-5-methylthiopentane$DKM-1-P$2,3-diketo-5-methylthio-1-phosphopentane$2,3-diketo-5-methylthiopentyl-1-phosphate"	"(PUBCHEM ""25244990"" NIL |taltman| 3451921009 NIL NIL)$(LIGAND-CPD ""C15650"" NIL |qwan| 3382304817 NIL NIL)"
"5-P-BETA-D-RIBOSYL-AMINE"	"CHEBI:17284"	"5-phospho-D-ribosylamine"	"5-phospho-beta-D-ribosyl-amine$5-P-beta-D-ribosyl-amine$PRA$5-phosphoribosylamine"	"C([CH]1(O[CH](N)[CH](O)[CH](O)1))OP(O)(O)=O"	"5-phospho-beta-D-ribosyl-amine$5-phospho-beta-D-ribosyl-amine$5-P-beta-D-ribosyl-amine$PRA$5-phosphoribosylamine"	"(LIGAND-CPD ""C03090"" NIL |kr| 3346617700 NIL NIL)"
"CPD-83"	"CHEBI:27881"	"resveratrol"	"3,5,4'-trihydroxystilbene"	"c1(c(cc(cc1C=Cc2(ccc(cc2)O))O)O)"	"resveratrol$3,5,4'-trihydroxystilbene"	""
"ISOPENICILLIN-N"	"CHEBI:18165"	"isopenicillin N"	""	"CC2(C)(S[CH]1(N(C(=O)[CH](NC(=O)CCC[CH]([N+])C(=O)O)1)[CH](C(=O)[O-])2))"	"isopenicillin N"	"(PUBCHEM ""440723"" NIL |hopkinso| 3317147654 NIL NIL)"
"CARBON-DIOXIDE"	"CHEBI:16526"	"carbon dioxide"	"carbonic anhydride$carbonic acid gas$carbon dioxide"	"C(=O)=O"	"CO2$carbonic anhydride$carbonic acid gas$carbon dioxide"	"(LIGAND-CPD ""C00011"" NIL |kr| 3346617699 NIL NIL)$(CAS ""124-38-9"")"
"CPD-341"	"CHEBI:17890"	"tryptophol"	"Tryptophol"	"c2(c(CCO)c1(ccccc1[nH]2))"	"indole-3-ethanol$Tryptophol"	"(CAS ""526-55-6"")"
"ISOCHORISMATE"	"CHEBI:43582"	"ISOCHORISMATE"	"Isochorismic acid"	"C(O)(=O)C1(=CC=CC(C1O)OC(C(O)=O)=C)"	"isochorismate$Isochorismic acid"	"(LIGAND-CPD ""C00885"" NIL |kr| 3346617700 NIL NIL)$(CAS ""22642-82-6"")"
"AMINO-OXOBUT"	"CHEBI:17844"	"2-amino-3-oxobutanoic acid"	"2-amino-acetoacetate$2-amino-3-ketobutyrate$2-amino-3-oxobutyrate$alpha-amino-beta-ketobutyrate$L-2-amino-3-oxobutanoate"	"CC(C(C(O)=O)N)=O"	"2-amino-3-oxobutanoate$2-amino-acetoacetate$2-amino-3-ketobutyrate$2-amino-3-oxobutyrate$alpha-amino-beta-ketobutyrate$L-2-amino-3-oxobutanoate"	"(LIGAND-CPD ""C03508"" NIL |kr| 3346617701 NIL NIL)"
"CPD-865"	"CHEBI:66953"	"5-oxo-1,2-campholide"	""	"CC12(C(C)(C(CC(=O)O1)C(=O)C2)C)"	"5-oxo-1,2-campholide"	""
"5-HYDROXYISOURATE"	"CHEBI:59562"	"5-hydroxyisouric acid anion"	""	"C1([NH]C(C2([NH]C([O-])=NC(=N1)2)O)=O)(=O)"	"5-hydroxyisourate"	""
"CPD-4208"	"CHEBI:71693"	"9-ribosyl-trans-zeatin"	"ZR$zeatin riboside"	"c3(nc1(c(ncn1C2(C(O)C(O)C(CO)O2))c(NCC=C(C)CO)n3))"	"trans-zeatin riboside$ZR$zeatin riboside"	""
"2-HYDROXY-3-KETO-5-METHYLTHIO-1-PHOSPHOP"	"CHEBI:50605"	"2-hydroxy-5-(methylsulfanyl)-3-oxopent-1-enyl phosphate"	"1-phosphoryloxyl-2-hydroxy-3-keto-5-methylthiopentene"	"C(OP(=O)(O)O)=C(O)C(CCSC)=O"	"2-hydroxy-3-keto-5-methylthio-1-phosphopentene$1-phosphoryloxyl-2-hydroxy-3-keto-5-methylthiopentene"	""
"CYCLOEUCALENOL"	"CHEBI:16653"	"cycloeucalenol"	""	"CC(C(CCC(C2(C3(CCC45(C1(CCC(C([CH]1CCC(C(C)(CC2)3)4)C)O)C5))(C)))C)=C)C"	"cycloeucalenol"	"(LIGAND-CPD ""C02141"" NIL |sreddy| 3295643625 NIL NIL)$(CAS ""469-39-6"")"
"S-RETICULINE"	"CHEBI:26533"	"reticuline"	"1-[(3-hydroxy-4-methoxy-phenyl)methyl]-6-methoxy-2-methyl-1,2,3,4-tetrahydroisoquinolin-7-ol"	"C1(N([CH](c2(c(C1)cc(c(c2)O)OC))Cc3(cc(c(OC)cc3)O))C)"	"(S)-reticuline$1-[(3-hydroxy-4-methoxy-phenyl)methyl]-6-methoxy-2-methyl-1,2,3,4-tetrahydroisoquinolin-7-ol"	""
"NN-DIMETHYLANILINE"	"CHEBI:16269"	"N,N-dimethylaniline"	""	"CN(C1(C=CC=CC=1))C"	"N,N-dimethylaniline"	"(NCI ""7195"")$(CAS ""121-69-7"")"
"24DINH2-PENTANOATE"	"CHEBI:904"	"2,4-diaminopentanoic acid"	"2,4-di-NH2-pentanoate$2,4-diaminopentanoate$(2R,4S)-2, 4-diaminopentanoate"	"CC(CC(C(O)=O)N)N"	"2,4-diaminopentanoate$2,4-di-NH2-pentanoate$2,4-diaminopentanoate$(2R,4S)-2, 4-diaminopentanoate"	"(CAS ""24317-81-5"")$(CAS ""126253-36-9"")"
"AMMONIA"	"CHEBI:16134"	"ammonia"	"NH3"	"[NH3]"	"ammonia$NH3"	"(CAS ""7664-41-7"")"
"ALPHA-RIBAZOLE"	"CHEBI:10329"	"alpha-ribazole"	"N1-(alpha-D-ribosyl)-5,6-dimethylbenzimidazole"	"Cc1(c(C)cc2(n(cnc(c1)2)C3(C(C(C(O3)CO)O)O)))"	"alpha-ribazole$N1-(alpha-D-ribosyl)-5,6-dimethylbenzimidazole"	"(LIGAND-CPD ""C05775"" NIL |kr| 3346617700 NIL NIL)"
"PALMITALDEHYDE"	"CHEBI:17600"	"hexadecanal"	"palmitoyl aldehyde$palmitaldehyde$hexadecanal"	"C(=O)CCCCCCCCCCCCCCC"	"palmitaldehyde$palmitoyl aldehyde$palmitaldehyde$hexadecanal"	"(CAS ""629-80-1"")"
"CPD-465"	"CHEBI:15442"	"presqualene diphosphate"	""	"CC(=CCCC(=CCCC(=C[CH]1(C(CCC=C(CCC=C(C)C)C)([CH]1COP(OP(O)(O)=O)(O)=O)C))C)C)C"	"presqualene diphosphate"	""
"CPD-412"	"CHEBI:16428"	"4-coumaroylshikimic acid"	"trans-5-O-(4-Coumaroyl)shikimate$trans-(p-coumaroyl)-shikimate"	"C(=CC1(C=CC(O)=CC=1))C(=O)OC2(CC(=CC(O)C(O)2)C(=O)O)"	"4-coumaroylshikimate$trans-5-O-(4-Coumaroyl)shikimate$trans-(p-coumaroyl)-shikimate"	""
"CPD-60"	"CHEBI:2083"	"4-imidazolone"	""	"c1([nH]c(cn=1)=O)"	"4-imidazolone"	""
"CPD-1789"	"CHEBI:17803"	"dehydro-D-arabinono-1,4-lactone"	"(5R)-3,4-dihydroxy-5-(hydroxymethyl)furan-2(5H)-one"	"C(O)C1(OC(=O)C(O)=C([O-])1)"	"dehydro-D-arabinono-1,4-lactone$(5R)-3,4-dihydroxy-5-(hydroxymethyl)furan-2(5H)-one"	"(LIGAND-CPD ""C06316"" NIL |taltman| 3459474373 NIL NIL)$(PUBCHEM ""25203237"" NIL |taltman| 3448034169 NIL NIL)"
"N2-SUCCINYLGLUTAMATE"	"CHEBI:48957"	"N2-succinyl-L-glutamic acid"	"N2-Succinyl-L-glutamate$N2-succinylglutamatic acid$N2-succinylglutamic acid"	"C(CCC(=O)O)(NC(CCC(=O)O)C(=O)O)=O"	"N2-succinylglutamate$N2-Succinyl-L-glutamate$N2-succinylglutamatic acid$N2-succinylglutamic acid"	"(CAS ""33981-72-5"" NIL |kr| 3350173118 NIL NIL)$(LIGAND-CPD ""C05931"" NIL |kr| 3346617700 NIL NIL)"
"2-AMINO-MUCONATE"	"CHEBI:16886"	"2-aminomuconic acid"	"2-Aminomuconate"	"C(C(N)=CC=CC(=O)O)(O)=O"	"2-amino-muconate$2-Aminomuconate"	""
"P-COUMAROYL-COA"	"CHEBI:15499"	"4-coumaroyl-CoA"	"p-coumaroyl-CoA"	"CC(C)(COP(=O)([O-])OP(=O)([O-])OCC3(OC(N2(C=NC1(C(N)=NC=NC=12)))C(O)C(OP(=O)([O-])[O-])3))C(O)C(=O)NCCC(=O)NCCSC(=O)C=CC4(=CC=C(O)C=C4)"	"4-coumaroyl-CoA$p-coumaroyl-CoA"	"(LIGAND-CPD ""C00223"" NIL |taltman| 3459474373 NIL NIL)$(PUBCHEM ""25244633"" NIL |taltman| 3451921010 NIL NIL)$(CHEBI ""15499"")"
"SINAPYL-ALCOHOL"	"CHEBI:28813"	"sinapyl alcohol"	""	"COc1(cc(C=CCO)cc(c1O)OC)"	"sinapyl-alcohol"	""
"3-HYDROXY-PROPIONATE"	"CHEBI:20071"	"3-hydroxypropanoic acid"	"3-Hydroxypropanoate$beta-hydroxypropionate$3-Hydroxypropanoic acid$3-Hydropropionic acid$Hydracrylic acid"	"C(O)(CCO)=O"	"3-hydroxy-propionate$3-Hydroxypropanoate$beta-hydroxypropionate$3-Hydroxypropanoic acid$3-Hydropropionic acid$Hydracrylic acid"	"(CAS ""96-26-4"")$(CAS ""503-66-2"")"
"CPD-6643"	"CHEBI:28620"	"licoisoflavone A"	"licoisoflavone A$3'-prenyl-5,7,2',4'-tetrahydroxyisoflavone"	"CC(C)=CCc3(c(c(C1(=COc2(c(C(=O)1)c(O)cc(O)c2)))ccc(O)3)O)"	"phaseoluteone$licoisoflavone A$3'-prenyl-5,7,2',4'-tetrahydroxyisoflavone"	""
"CPD-575"	"CHEBI:27804"	"cyclohexanecarboxylate"	""	"C(=O)([O-])C1(CCCCC1)"	"cyclohexane-1-carboxylate"	"(CHEBI ""27804"" NIL |taltman| 3452363248 NIL NIL)$(PUBCHEM ""168965"" NIL |taltman| 3448034169 NIL NIL)$(LIGAND-CPD ""C09822"" NIL |kr| 3410284649 NIL NIL)"
"BUTYRYL-P"	"CHEBI:17260"	"butanoyl dihydrogen phosphate"	"butyryl-P$butanoyl phosphate$phosphobutyrate"	"CCCC(OP(O)(O)=O)=O"	"butyryl phosphate$butyryl-P$butanoyl phosphate$phosphobutyrate"	""
"CPD-499"	"CHEBI:17436"	"(R)-5-phosphomevalonic acid"	"(R)-5-Phosphomevalonic acid$mevalonate-5-phosphate$(R)-5-Phosphomevalonate$(R)-Mevalonic acid 5-phosphate$(R)-5-Phosphomevaloonic acid$mevalonate-5-P$mevalonate-P$P-mevalonate$5-phosphomevalonate"	"CC(O)(CCOP(=O)(O)O)CC(=O)O"	"mevalonate-5P$(R)-5-Phosphomevalonic acid$mevalonate-5-phosphate$(R)-5-Phosphomevalonate$(R)-Mevalonic acid 5-phosphate$(R)-5-Phosphomevaloonic acid$mevalonate-5-P$mevalonate-P$P-mevalonate$5-phosphomevalonate"	"(CAS ""73566-35-5"")"
